id,sum,O1,O2,N1,N2,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
result_6,78.58888354223056,1.5591,1.5772349440206694,2.3923613781065454,1.7854,2.8876578263410435,3.8450153981606787,2.684668353223425,1.9063,1.9063,4.077579528328002,3.3793330155019685,2.398245263287402,2.194463774913878,3.6378279558316926,3.7750950610543796,2.0122,2.6341869924950787,2.194463774913878,3.3643870916892222,2.8497948834276574,0.9472,3.4829884927103842,4.153420756182332,1.8401570958415352,1.4648932509534944,4.166721133735236,4.642582930917815,1.4213,2.55474853515625,1.8532561054379917,-1.0
result_33,54.95735672520915,1.5591,1.5591,2.267286886380413,1.7854,2.7125210499200296,2.3569239819143704,2.72916778804749,1.9695958415354333,1.9063,2.064504067728839,2.0122,2.0122,2.0122,2.0122,2.0122,2.0122,2.0122,2.0122,2.0122,2.3923613781065454,1.2982605461060528,1.8401570958415352,1.4213,1.4213,1.4213,1.4213,1.4213,1.4577780896284445,1.4213,1.4213,-1.0
result_9,67.97178594057578,3.057733490711122,1.8858508012426185,1.7854,2.139169287493848,2.566165954109252,2.571866253229577,2.684668353223425,2.526100939653051,2.1638178787832185,3.5946467842642713,2.0122,2.0122,2.0122,3.872784471887303,2.0122,2.2491757850947343,2.0122,3.3343899944635824,2.0122,0.9472,2.045665350485974,2.817144438976378,1.4213,1.4213,1.6323847733144685,3.694969357468012,1.4213,1.8597926342581204,1.4213,3.7844593919168306,-1.0
result_22,65.49514473117618,1.5591,1.5591,2.077024444820374,1.7854,2.4799530750184546,2.0122,3.1410056286909445,1.9063,1.9063,2.0122,4.285332627183809,2.0122,2.0122,2.0122,4.410616176334892,2.0122,2.267286886380413,2.0122,3.478090301273376,1.6597145861528055,0.9472,1.9503957192728842,3.59945846918061,1.4213,1.4213,1.4213,4.5169432632566435,1.5424266424704722,1.6528969111405019,1.4213,-1.0
result_40,56.093076881612944,1.5591,1.5591,1.7854,1.7854,2.54903045414001,2.526100939653051,2.1206049881582185,2.267286886380413,1.9063,2.0122,2.0122,2.0122,2.321250134565699,2.0122,2.0122,2.0122,2.474157138133612,2.0122,2.0122,0.9472,0.9472,1.4213,1.4213,1.4213,2.952006182332677,1.4213,1.4213,1.4213,2.817144438976378,1.9503957192728842,-1.0
result_2,52.062192504306104,1.5591,1.5591,1.7854,1.7854,2.4625470018762305,2.3569239819143704,2.0122,2.409993329386073,1.9063,2.0122,2.0122,2.0122,2.0122,2.0122,2.0122,2.0122,2.0122,2.0122,2.0122,0.9472,1.031496062992126,1.4213,1.4213,1.4213,1.4213,1.4213,1.4213,1.4213,1.7541321281373028,1.4213,-1.0
result_17,56.396391377414496,1.5591,2.2249299297182583,3.0103865495816926,1.872838778758612,2.882264144777313,2.409993329386073,2.3923613781065454,2.077024444820374,2.4567328025036907,2.0122,2.0122,2.0122,2.0122,2.0122,2.0122,2.0122,2.0122,2.0122,2.0122,2.577560785248524,0.9680038812592273,1.4213,1.4213,1.429202102300689,1.4213,1.4213,1.4213,1.4213,1.4213,1.4648932509534944,-1.0
result_51,71.61825773560531,2.194463774913878,1.5591,2.350994921106053,2.55474853515625,3.0629714605376472,2.485742764210138,3.419018362450787,3.0051024429441435,1.995081143116388,2.7512879859744093,3.5366283026267222,2.0122,3.1770836537278546,2.267286886380413,2.7512879859744093,2.0122,2.0122,2.0122,2.0122,2.409993329386073,2.4567328025036907,3.094305083507628,3.8496516670767713,1.4213,2.3152811846395176,2.600279800535187,2.662287674550935,1.4213,1.4213,1.7940279742864176,-1.0
result_0,59.198082244248276,1.5591,1.5591,2.2249299297182583,1.7854,2.526100939653051,2.2249299297182583,2.243125134565699,1.9063,1.9063,2.0122,2.526100939653051,2.0122,2.0122,2.0122,2.064504067728839,2.0122,2.0122,2.526100939653051,2.0122,2.662287674550935,0.9472,1.4213,3.0734339436208167,1.5979936254306102,1.7071600485974407,1.4213,2.3628463144377463,1.5633439191683074,1.4648932509534944,2.8389315867987204,-1.0
result_15,53.980174707800195,1.5591,1.5591,1.7854,1.7854,2.368762399267963,2.0122,2.267286886380413,1.9063,1.9063,2.0122,2.0122,2.0122,2.0122,2.0122,2.0122,2.0122,2.0122,2.0122,2.077024444820374,0.9472,1.5073496901144194,2.368762399267963,1.4213,2.0014321635088583,1.4213,1.7940279742864176,1.4213,1.9182287501537898,1.4213,1.4213,-1.0
